,From,To,edge
1468,Ted S. Yoho,Sean P. Duffy,1
1473,Ted S. Yoho,Scott Perry,1
1476,Ted S. Yoho,Tim Huelskamp,1
1478,Ted S. Yoho,John Abney Culberson,1
1480,Ted S. Yoho,Tom Marino,1
1481,Ted S. Yoho,John Ratcliffe,1
1482,Ted S. Yoho,Diane Black,1
1483,Ted S. Yoho,Vicky Hartzler,1
1484,Ted S. Yoho,Trent Franks,1
1488,Ted S. Yoho,Ron Desantis,1
1490,Ted S. Yoho,Justin Amash,1
1491,Ted S. Yoho,Dave Brat,1
1492,Ted S. Yoho,Adrian Smith,1
1495,Ted S. Yoho,Jackie Walorski,1
1496,Ted S. Yoho,Edward Whitfield,1
1497,Ted S. Yoho,Tom Emmer,1
1498,Ted S. Yoho,Cresent Hardy,1
1499,Ted S. Yoho,David Schweikert,1
1502,Ted S. Yoho,Barry Loudermilk,1
1503,Ted S. Yoho,Steve Womack,1
1508,Ted S. Yoho,Mike Pompeo,1
1509,Ted S. Yoho,Todd Rokita,1
1512,Ted S. Yoho,Brad R. Wenstrup,1
1516,Ted S. Yoho,Lamar Smith,1
1520,Ted S. Yoho,Frank D. Lucas,1
1522,Ted S. Yoho,Mo Brooks,1
1527,Ted S. Yoho,Walter B. Jones,1
1536,Ted S. Yoho,Doug Lamalfa,1
1537,Ted S. Yoho,Sam Graves,1
1540,Ted S. Yoho,John J. Duncan,1
1541,Ted S. Yoho,John Fleming,1
1546,Ted S. Yoho,Scott R. Tipton,1
1547,Ted S. Yoho,Ann Wagner,1
1552,Ted S. Yoho,"Eric A. ""Rick"" Crawford",1
1558,Ted S. Yoho,Ralph Lee Abraham,1
1559,Ted S. Yoho,Gus M. Bilirakis,1
1562,Ted S. Yoho,Tom Rice,1
1563,Ted S. Yoho,Michael K. Simpson,1
1567,Ted S. Yoho,Trey Gowdy,1
1568,Ted S. Yoho,John R. Carter,1
1569,Ted S. Yoho,Kenny Marchant,1
1571,Ted S. Yoho,Marlin A. Stutzman,1
1572,Ted S. Yoho,Jason Smith,1
1573,Ted S. Yoho,Randy Hultgren,1
1574,Ted S. Yoho,Kevin Cramer,1
1577,Ted S. Yoho,Thomas J. Rooney,1
1579,Ted S. Yoho,Austin Scott,1
1581,Ted S. Yoho,Robert Pittenger,1
